crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
3/31/2019 2:11,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,2,1,3
6/2/2022 7:25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,3,0,0,2,1,0,7,5,6
10/9/2018 17:19,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",2,NO INDICATION OF INJURY,0,0,0,0,0,6,17,3,10
2/6/2023 7:45,NO CONTROLS,CLEAR,DAWN,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,7,2,2
4/18/2019 22:32,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,22,5,4
8/26/2020 11:10,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER LANE USAGE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,11,4,8
11/11/2021 12:00,TRAFFIC SIGNAL,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,12,5,11
7/25/2018 14:17,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,14,4,7
4/18/2018 14:08,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,NO INDICATION OF INJURY,0,0,0,0,0,2,14,4,4
1/29/2022 16:43,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,3,NONINCAPACITATING INJURY,2,0,0,2,0,1,16,7,1
